option,accuracy,operations saved,total operations,% saved
"[8, 6, 6, 0, 103]",37.7,9162982,20160000,0.45451299603174605
"[9, 6, 6, 0, 103]",38.1,9109443,20160000,0.45185729166666666
"[9, 6, 6, 1, 103]",38.6,9095291,20160000,0.4511553075396825
"[9, 6, 6, 2, 103]",39.6,9084667,20160000,0.45062832341269843
"[9, 6, 6, 3, 103]",39.1,9060273,20160000,0.4494183035714286
"[9, 6, 6, 4, 103]",38.1,9037556,20160000,0.44829146825396826
"[9, 6, 6, 5, 103]",38.1,9037556,20160000,0.44829146825396826
"[9, 6, 6, 6, 103]",38.1,9037556,20160000,0.44829146825396826
"[9, 6, 6, 7, 103]",38.1,9037556,20160000,0.44829146825396826
"[9, 6, 6, 8, 103]",38.1,9037556,20160000,0.44829146825396826
"[9, 6, 6, 9, 103]",38.6,9025029,20160000,0.4476700892857143
"[9, 6, 6, 10, 103]",38.6,9025029,20160000,0.4476700892857143
"[9, 6, 6, 11, 103]",38.6,9025029,20160000,0.4476700892857143
"[9, 6, 6, 12, 103]",38.6,9025029,20160000,0.4476700892857143
"[9, 6, 6, 13, 103]",38.6,9025029,20160000,0.4476700892857143
"[9, 6, 6, 14, 103]",39.6,9016462,20160000,0.4472451388888889
"[9, 6, 6, 15, 103]",39.6,9016462,20160000,0.4472451388888889
"[9, 6, 6, 16, 103]",39.6,9016462,20160000,0.4472451388888889
"[9, 6, 6, 17, 103]",39.6,9016462,20160000,0.4472451388888889
"[9, 6, 6, 18, 103]",39.6,9016462,20160000,0.4472451388888889
"[9, 6, 6, 19, 103]",39.1,8991539,20160000,0.446008878968254
"[9, 6, 6, 20, 103]",39.1,8991539,20160000,0.446008878968254
